epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,977.602,0.36139,0.27303,0.86555,0.99943,1,0.995,0.96344,0.28912,0.20892,0.83401,0.0015644,0.0015644,0.0015644
46,999.307,0.36193,0.26963,0.86705,0.99946,1,0.995,0.97301,0.30106,0.21162,0.83514,0.0015545,0.0015545,0.0015545
47,1021.12,0.36808,0.269,0.87435,0.99949,1,0.995,0.96524,0.30904,0.21804,0.84299,0.0015446,0.0015446,0.0015446
48,1042.96,0.36136,0.27056,0.86417,0.99947,1,0.995,0.97151,0.30114,0.21023,0.83963,0.0015347,0.0015347,0.0015347
49,1064.92,0.3674,0.2724,0.86928,0.99946,1,0.995,0.9664,0.31407,0.20638,0.84057,0.0015248,0.0015248,0.0015248
50,1086.79,0.35965,0.2663,0.86934,0.99946,1,0.995,0.96252,0.30275,0.20644,0.83185,0.0015149,0.0015149,0.0015149
51,1108.62,0.34866,0.25835,0.86021,0.99948,1,0.995,0.97552,0.29992,0.20145,0.83338,0.001505,0.001505,0.001505
52,1130.53,0.35189,0.26067,0.86732,0.99949,1,0.995,0.96469,0.2996,0.2015,0.83257,0.0014951,0.0014951,0.0014951
53,1152.45,0.34614,0.25915,0.85385,0.99948,1,0.995,0.96411,0.295,0.19523,0.82935,0.0014852,0.0014852,0.0014852
54,1174.34,0.35784,0.26674,0.86474,0.99948,1,0.995,0.97242,0.29014,0.19932,0.83231,0.0014753,0.0014753,0.0014753
55,1196.26,0.36168,0.265,0.86842,0.99948,1,0.995,0.96781,0.31147,0.20635,0.84004,0.0014654,0.0014654,0.0014654
56,1218.04,0.35681,0.26406,0.86468,0.99948,1,0.995,0.96384,0.27882,0.19072,0.83164,0.0014555,0.0014555,0.0014555
57,1239.91,0.34384,0.25532,0.8588,0.99943,1,0.995,0.96676,0.29198,0.19831,0.83333,0.0014456,0.0014456,0.0014456
58,1261.81,0.36518,0.27192,0.87277,0.99943,1,0.995,0.96337,0.28772,0.19478,0.83671,0.0014357,0.0014357,0.0014357
59,1283.67,0.35782,0.26672,0.87315,0.99943,1,0.995,0.96655,0.27828,0.19797,0.83111,0.0014258,0.0014258,0.0014258
60,1305.45,0.34673,0.25723,0.86456,0.99949,1,0.995,0.96757,0.28886,0.19175,0.82619,0.0014159,0.0014159,0.0014159
61,1327.28,0.35904,0.26508,0.86983,0.99948,1,0.995,0.9572,0.30203,0.22611,0.83271,0.001406,0.001406,0.001406
62,1349.2,0.36703,0.26954,0.8699,0.99948,1,0.995,0.96538,0.30789,0.19955,0.83674,0.0013961,0.0013961,0.0013961
