epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,4493.21,0.42127,0.29875,0.95544,0.99899,1,0.995,0.95259,0.32714,0.2346,0.97458,0.0015743,0.0015743,0.0015743
45,4594.61,0.39142,0.28009,0.94474,0.99943,1,0.995,0.96326,0.32062,0.23088,0.9702,0.0015644,0.0015644,0.0015644
46,4696.12,0.40811,0.28356,0.95342,0.99931,1,0.995,0.95791,0.32963,0.22149,0.97115,0.0015545,0.0015545,0.0015545
47,4797.27,0.40961,0.28305,0.9545,0.99902,1,0.995,0.96847,0.33083,0.22104,0.98722,0.0015446,0.0015446,0.0015446
48,4898.67,0.40457,0.28442,0.95759,0.99945,1,0.995,0.96587,0.3271,0.22791,0.99124,0.0015347,0.0015347,0.0015347
49,5000.09,0.40316,0.28312,0.95204,0.99869,1,0.995,0.95838,0.33917,0.22716,0.97725,0.0015248,0.0015248,0.0015248
50,5101.52,0.38969,0.27868,0.93944,0.99944,1,0.995,0.96953,0.31368,0.22063,0.9697,0.0015149,0.0015149,0.0015149
51,5203.3,0.38499,0.27572,0.94251,0.9991,1,0.995,0.96562,0.32741,0.22869,0.97901,0.001505,0.001505,0.001505
52,5304.82,0.39443,0.27683,0.94312,0.99839,1,0.995,0.96319,0.32688,0.22506,0.98101,0.0014951,0.0014951,0.0014951
53,5405.86,0.38962,0.27979,0.9345,0.99934,1,0.995,0.96976,0.31309,0.21581,0.97205,0.0014852,0.0014852,0.0014852
54,5506.74,0.38573,0.27034,0.9352,0.99909,1,0.995,0.9649,0.33943,0.22673,0.9842,0.0014753,0.0014753,0.0014753
55,5607.79,0.39851,0.27574,0.94401,0.99935,1,0.995,0.95434,0.35864,0.22668,1.01761,0.0014654,0.0014654,0.0014654
56,5708.46,0.39473,0.27676,0.94204,0.99917,1,0.995,0.96695,0.32359,0.23178,0.98347,0.0014555,0.0014555,0.0014555
57,5809.96,0.37132,0.27069,0.92685,0.99905,1,0.995,0.96429,0.31329,0.21547,0.97092,0.0014456,0.0014456,0.0014456
58,5910.67,0.39854,0.28048,0.94764,0.99945,1,0.995,0.9699,0.29693,0.20702,0.94439,0.0014357,0.0014357,0.0014357
59,6011.78,0.40201,0.27922,0.95805,0.99947,1,0.995,0.9622,0.31089,0.21666,0.96092,0.0014258,0.0014258,0.0014258
60,6112.62,0.38202,0.27096,0.94156,0.99948,1,0.995,0.96996,0.3122,0.21605,0.95805,0.0014159,0.0014159,0.0014159
61,6213.7,0.39592,0.27971,0.95319,0.99895,1,0.995,0.96773,0.3074,0.2026,0.96315,0.001406,0.001406,0.001406
62,6315.14,0.38614,0.26976,0.93418,0.99929,1,0.995,0.96078,0.31686,0.20958,0.96172,0.0013961,0.0013961,0.0013961
63,6416.88,0.40342,0.27602,0.9507,0.99891,1,0.995,0.96937,0.29774,0.21074,0.95161,0.0013862,0.0013862,0.0013862
64,6518.12,0.40014,0.27731,0.94603,0.99945,1,0.995,0.95874,0.34001,0.2139,0.97932,0.0013763,0.0013763,0.0013763
65,6619.8,0.38912,0.27034,0.94481,0.99937,1,0.995,0.96591,0.32151,0.2128,0.95981,0.0013664,0.0013664,0.0013664
66,6720.85,0.36984,0.25848,0.93129,0.99943,1,0.995,0.97174,0.31209,0.20964,0.95555,0.0013565,0.0013565,0.0013565
67,6822.08,0.38264,0.27085,0.93098,0.99948,1,0.995,0.96752,0.30854,0.20457,0.96358,0.0013466,0.0013466,0.0013466
68,6922.7,0.37187,0.26684,0.93282,0.99946,1,0.995,0.9669,0.31722,0.21881,0.97688,0.0013367,0.0013367,0.0013367
69,7024.18,0.37654,0.26398,0.93003,0.99887,1,0.995,0.96698,0.30782,0.20647,0.95362,0.0013268,0.0013268,0.0013268
70,7125.83,0.37247,0.25835,0.93279,0.99932,1,0.995,0.97244,0.29868,0.20602,0.9488,0.0013169,0.0013169,0.0013169
71,7227.08,0.37253,0.26324,0.93519,0.99857,1,0.995,0.96819,0.29818,0.21037,0.94686,0.001307,0.001307,0.001307
72,7327.86,0.37909,0.2641,0.93261,0.99914,1,0.995,0.97133,0.30373,0.20269,0.95445,0.0012971,0.0012971,0.0012971
73,7428.76,0.38166,0.26977,0.94037,0.99938,1,0.995,0.97062,0.2988,0.20761,0.94419,0.0012872,0.0012872,0.0012872
74,7530.16,0.36835,0.26068,0.93389,0.99933,1,0.995,0.97238,0.29625,0.19611,0.95116,0.0012773,0.0012773,0.0012773
75,7631.33,0.37178,0.26088,0.9382,0.99887,1,0.995,0.97291,0.30452,0.20269,0.95326,0.0012674,0.0012674,0.0012674
76,7731.9,0.38549,0.262,0.93463,0.99922,1,0.995,0.97341,0.30958,0.2039,0.95265,0.0012575,0.0012575,0.0012575
77,7833.29,0.36957,0.25666,0.93462,0.99923,1,0.995,0.97434,0.30301,0.20034,0.94676,0.0012476,0.0012476,0.0012476
78,7934.28,0.37479,0.25953,0.93981,0.999,1,0.995,0.96985,0.31954,0.20323,0.95617,0.0012377,0.0012377,0.0012377
79,8035.76,0.37635,0.26068,0.92317,0.99921,1,0.995,0.96894,0.2973,0.20006,0.95435,0.0012278,0.0012278,0.0012278
