epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,5822.08,0.45114,0.30781,0.98649,0.99947,1,0.995,0.95909,0.34478,0.24428,0.96058,0.0011486,0.0011486,0.0011486
45,5954.22,0.4363,0.29971,0.97397,0.99936,1,0.995,0.94553,0.37081,0.25485,0.99305,0.0011288,0.0011288,0.0011288
46,6086.1,0.43834,0.29268,0.977,0.9994,1,0.995,0.95356,0.34964,0.22643,0.97707,0.001109,0.001109,0.001109
47,6218.52,0.43345,0.29171,0.9764,0.99949,1,0.995,0.95367,0.35651,0.24295,0.98925,0.0010892,0.0010892,0.0010892
48,6350.12,0.43078,0.29313,0.98102,0.99938,1,0.995,0.952,0.35067,0.22561,0.98198,0.0010694,0.0010694,0.0010694
49,6482.25,0.43275,0.29339,0.96998,0.99947,1,0.995,0.95843,0.35824,0.23239,0.97966,0.0010496,0.0010496,0.0010496
50,6613.45,0.42715,0.28701,0.97333,0.99942,1,0.995,0.96177,0.33386,0.23223,0.95146,0.0010298,0.0010298,0.0010298
51,6745.06,0.42204,0.28065,0.97175,0.99946,1,0.995,0.95755,0.34277,0.23438,0.98281,0.00101,0.00101,0.00101
52,6876.63,0.42478,0.2874,0.9691,0.99944,1,0.995,0.96085,0.34111,0.21969,0.96631,0.0009902,0.0009902,0.0009902
53,7008.1,0.42224,0.28162,0.96391,0.99946,1,0.995,0.95996,0.35692,0.22975,0.99693,0.0009704,0.0009704,0.0009704
54,7139.85,0.41232,0.27505,0.9651,0.99947,1,0.995,0.96347,0.3316,0.21844,0.96969,0.0009506,0.0009506,0.0009506
55,7271.55,0.41504,0.27926,0.95791,0.99947,1,0.995,0.94562,0.34943,0.22548,1.00291,0.0009308,0.0009308,0.0009308
56,7403.03,0.41879,0.28077,0.96525,0.99937,1,0.995,0.95228,0.32861,0.22608,0.96395,0.000911,0.000911,0.000911
57,7535.05,0.403,0.26975,0.95155,0.9995,1,0.995,0.96213,0.3293,0.22532,0.96812,0.0008912,0.0008912,0.0008912
58,7667.08,0.43098,0.28521,0.97408,0.99952,1,0.995,0.96397,0.32768,0.22372,0.95569,0.0008714,0.0008714,0.0008714
59,7799.02,0.41757,0.27642,0.97495,0.99949,1,0.995,0.96422,0.3161,0.20957,0.95624,0.0008516,0.0008516,0.0008516
60,7930.37,0.40159,0.2733,0.9567,0.99942,1,0.995,0.96584,0.32527,0.2167,0.95415,0.0008318,0.0008318,0.0008318
61,8062.25,0.4109,0.27588,0.96627,0.99945,1,0.995,0.96071,0.33349,0.218,0.95803,0.000812,0.000812,0.000812
62,8193.37,0.40134,0.26901,0.94886,0.99941,1,0.995,0.95852,0.33013,0.21753,0.95495,0.0007922,0.0007922,0.0007922
63,8324.64,0.41529,0.27453,0.96156,0.99948,1,0.995,0.96425,0.31926,0.21461,0.95089,0.0007724,0.0007724,0.0007724
64,8455.59,0.4027,0.26932,0.95442,0.99942,1,0.995,0.9603,0.33022,0.22222,0.95225,0.0007526,0.0007526,0.0007526
65,8587.58,0.40431,0.26833,0.95685,0.99945,1,0.995,0.96478,0.32861,0.21526,0.96008,0.0007328,0.0007328,0.0007328
